method	seed	run	AUROC	AUPRC	EP@5%	EP@10%	time_sec
DeepSEM	0	1	0.5168646226864345	0.022873351328710642	0.014141414141414142	0.01919191919191919	23.459909200668335
DeepSEM	1	2	0.5141487626591321	0.029780512416943912	0.030303030303030304	0.031313131313131314	20.16997718811035
DeepSEM	2	3	0.4732084748722182	0.018557730333143906	0.00808080808080808	0.00909090909090909	20.192278385162354
DeepSEM	3	4	0.5056812319438713	0.023735877249366617	0.022222222222222223	0.020202020202020204	20.165071964263916
DeepSEM	4	5	0.48176529413632185	0.01963834520644659	0.012121212121212121	0.014141414141414142	20.2033588886261
DeepSEM	5	6	0.5205715856058921	0.022351665890961558	0.020202020202020204	0.01818181818181818	20.1164608001709
DeepSEM	6	7	0.4500495055398584	0.019465630249164305	0.028282828282828285	0.021212121212121213	20.15106201171875
DeepSEM	7	8	0.504909878091368	0.02240234828173987	0.020202020202020204	0.01717171717171717	20.13283634185791
DeepSEM	8	9	0.48621732039112353	0.020664925290836002	0.020202020202020204	0.022222222222222223	20.10567831993103
DeepSEM	9	10	0.491015587796438	0.020442640491834474	0.020202020202020204	0.01717171717171717	20.17280626296997
DeepTGI	0	1	0.5963361436077336	0.03067099051699189	0.03434343434343434	0.031313131313131314	9.999885320663452
DeepTGI	1	2	0.6092770306200197	0.03849567733234362	0.03838383838383838	0.03939393939393939	9.865871906280518
DeepTGI	2	3	0.6274554350931776	0.03194308651242721	0.03838383838383838	0.03535353535353535	9.810954809188843
DeepTGI	3	4	0.6132798858693926	0.034965467611294	0.04040404040404041	0.045454545454545456	10.152360916137695
DeepTGI	4	5	0.6132059747928505	0.041160282925358935	0.04242424242424243	0.03737373737373737	9.876286745071411
DeepTGI	5	6	0.6232048041207656	0.030419574631173178	0.03434343434343434	0.03232323232323232	9.863893032073975
DeepTGI	6	7	0.599262575796057	0.027901463540487993	0.026262626262626262	0.024242424242424242	9.84475040435791
DeepTGI	7	8	0.6096512984539191	0.032682254491809254	0.052525252525252523	0.03535353535353535	10.169050216674805
DeepTGI	8	9	0.6104888746468142	0.03570268240466641	0.046464646464646465	0.03737373737373737	9.85059404373169
DeepTGI	9	10	0.6142637960728912	0.031423247884014335	0.03636363636363636	0.03535353535353535	9.85519528388977
GNNLink	0	1	0.6612724808724086	0.038375802534684436	0.04242424242424243	0.048484848484848485	0.5257925987243652
GNNLink	1	2	0.6628032834375694	0.03862721531817628	0.04242424242424243	0.049494949494949494	0.44669222831726074
GNNLink	2	3	0.6645062144829994	0.03865309895755963	0.04242424242424243	0.049494949494949494	0.44153261184692383
GNNLink	3	4	0.6621574296009397	0.03849458276833089	0.04242424242424243	0.047474747474747475	0.44240260124206543
GNNLink	4	5	0.6633325661132099	0.03858809764854004	0.04242424242424243	0.047474747474747475	0.4399425983428955
GNNLink	5	6	0.6633712578177084	0.03873665399257781	0.04242424242424243	0.049494949494949494	0.4396629333496094
GNNLink	6	7	0.6632189712371821	0.03858301225597257	0.046464646464646465	0.049494949494949494	0.439441442489624
GNNLink	7	8	0.6648643607733579	0.03887039861744165	0.04040404040404041	0.049494949494949494	0.440457820892334
GNNLink	8	9	0.660515512397219	0.038312490929794815	0.04242424242424243	0.045454545454545456	0.43913936614990234
GNNLink	9	10	0.6627452458808216	0.03861679529198683	0.04242424242424243	0.049494949494949494	0.43866682052612305
LINGER	0	1	0.556094290691768	0.03750620931650719	0.052525252525252523	0.030303030303030304	15.614371538162231
LINGER	1	2	0.5502669727610401	0.029867608938266933	0.04242424242424243	0.03434343434343434	7.780307054519653
LINGER	2	3	0.5522871261786089	0.02927153094174724	0.03232323232323232	0.03232323232323232	7.7263805866241455
LINGER	3	4	0.5736437069430775	0.028728237475800535	0.03838383838383838	0.02727272727272727	7.8339715003967285
LINGER	4	5	0.5563450426997683	0.030589188489277233	0.028282828282828285	0.024242424242424242	7.67367959022522
LINGER	5	6	0.5952361582907394	0.03138592385369077	0.03636363636363636	0.024242424242424242	7.765070915222168
LINGER	6	7	0.5479429902536588	0.02995134440212518	0.03232323232323232	0.03636363636363636	7.646575689315796
LINGER	7	8	0.5290659028858059	0.025375558772801572	0.026262626262626262	0.01919191919191919	7.6689136028289795
LINGER	8	9	0.5489092907711356	0.029362542527749207	0.044444444444444446	0.03333333333333333	7.738548755645752
LINGER	9	10	0.5560518786310676	0.03184770273484114	0.04040404040404041	0.04040404040404041	7.685654163360596
